t,pend,servo,mode,pwm,v
50.57,-2.64,-5.62,5,35,14.76
50.646,-2.29,-6.15,5,-16,14.76
50.761,2.46,-4.39,5,-17,14.77
50.847,2.99,-4.57,5,-34,14.76
50.923,0.53,-5.27,5,19,14.64
51.036,-1.58,-5.45,5,19,14.78
51.126,-2.81,-6.33,5,-33,14.77
51.201,0.18,-5.45,5,-17,14.77
51.273,3.16,-4.57,5,-17,14.77
51.35,2.81,-4.92,5,19,14.78
51.428,0.18,-5.8,5,19,14.76
51.511,-2.11,-6.15,5,35,14.74
51.582,-2.81,-6.5,5,35,14.74
51.665,-1.58,-6.86,5,-15,14.76
51.745,2.81,-5.45,5,-17,14.77
51.842,3.52,-5.45,5,-33,14.76
51.941,0.0,-6.15,5,18,14.77
52.02,-1.93,-5.98,5,19,14.74
52.096,-2.99,-6.15,5,35,14.74
52.182,-0.88,-5.8,5,-17,14.77
52.259,2.64,-4.39,5,-17,14.77
52.338,2.99,-4.57,5,19,14.76
52.426,0.53,-5.45,5,19,14.76
52.501,-1.58,-5.62,5,35,14.76
52.59,-2.81,-6.15,5,35,14.74
52.668,-1.23,-6.15,5,-16,14.77
52.77,2.81,-4.92,5,-17,14.76
52.875,2.99,-5.1,5,19,14.77
