t,pend,servo,mode,pwm,v
42.835,3.87,-5.27,5,-33,14.75
42.932,0.7,-6.33,5,28,14.76
43.011,-2.46,-6.68,5,29,14.74
43.091,-3.16,-6.5,5,28,14.74
43.175,-1.41,-6.5,5,-26,14.75
43.252,2.29,-5.1,5,-26,14.76
43.347,3.34,-4.75,5,-34,14.76
43.426,0.35,-5.62,5,28,14.77
43.522,-2.46,-5.98,5,28,14.74
43.604,-2.99,-6.33,5,35,14.74
43.686,-1.41,-6.68,5,-25,14.76
43.767,2.81,-5.45,5,-26,14.76
43.87,3.52,-5.45,5,-33,14.76
43.956,-0.35,-6.5,5,28,14.76
44.043,-2.64,-6.5,5,35,14.74
44.125,-3.16,-6.68,5,35,14.73
44.195,-0.7,-6.33,5,-26,14.76
44.281,3.16,-4.92,5,-26,14.77
44.374,2.81,-5.1,5,28,14.75
44.459,-0.88,-6.15,5,28,14.75
44.533,-2.64,-6.15,5,35,14.74
44.606,-3.16,-6.68,5,-25,14.74
44.712,0.35,-5.98,5,-26,14.76
44.79,3.69,-4.92,5,-34,14.77
44.884,2.46,-5.45,5,28,14.76
44.96,-1.23,-6.5,5,28,14.76
45.029,-2.64,-6.5,5,35,14.74
45.111,-3.16,-6.86,5,35,14.74
45.206,0.0,-6.68,5,-25,14.76
45.285,3.69,-5.45,5,-26,14.76
45.377,2.81,-5.8,5,28,14.76
45.455,-0.7,-6.68,5,29,14.76
45.529,-2.64,-6.33,5,35,14.74
45.614,-3.16,-6.68,5,35,14.74
45.695,-0.7,-6.5,5,-26,14.76
45.774,3.34,-5.1,5,-26,14.76
45.849,3.52,-5.1,5,-33,14.76
45.937,-0.18,-6.33,5,28,14.76
46.042,-2.81,-6.33,5,28,14.75
46.133,-2.81,-6.86,5,35,14.74
46.241,1.93,-5.62,5,-26,14.76
46.313,3.69,-5.1,5,-33,14.76
46.402,1.58,-5.8,5,28,14.66
46.474,-1.41,-6.33,5,28,14.76
46.569,-2.81,-6.15,5,35,14.73
46.667,-2.64,-6.86,5,-25,14.76
46.743,1.76,-5.62,5,-26,14.77
46.819,3.87,-4.92,5,-34,14.76
46.908,2.11,-5.62,5,28,14.76
46.999,-1.93,-6.5,5,35,14.76
47.075,-2.99,-6.33,5,35,14.74
47.165,-1.76,-6.5,5,-26,14.77
47.247,2.29,-4.92,5,-26,14.76
47.332,3.16,-4.57,5,-34,14.75
47.409,0.88,-5.45,5,28,14.76
47.48,-1.76,-5.8,5,35,14.76
47.57,-3.16,-6.15,5,35,14.73
47.679,-1.41,-6.86,5,-25,14.76
47.756,2.99,-5.62,5,-26,14.76
47.853,3.69,-5.62,5,-33,14.6
47.927,0.35,-6.68,5,28,14.76
48.039,-2.81,-6.86,5,35,14.74
48.115,-3.16,-6.86,5,35,14.74
48.192,-1.05,-6.68,5,-25,14.76
48.269,3.16,-5.1,5,-26,14.77
48.346,3.34,-5.1,5,28,14.76
48.441,-0.53,-6.15,5,28,14.76
48.525,-2.64,-6.33,5,35,14.76
48.602,-3.16,-6.5,5,35,14.74
48.691,-1.41,-6.86,5,-25,14.76
48.772,3.34,-5.45,5,-26,14.76
48.862,3.16,-5.45,5,28,14.75
48.962,-1.05,-6.68,5,29,14.66
49.033,-2.64,-6.5,5,35,14.74
